Run,Organism,create_date,geo_loc_name_country,geo_loc_name_country_continent,Collection_Date,isolation_source,HOST
SRR17244393,Klebsiella pneumoniae,2021-12-15T22:03:00Z,China,Asia,18/12/2016,,Homo sapiens
SRR17244394,Klebsiella pneumoniae,2021-12-15T22:04:00Z,China,Asia,23/10/2016,,Homo sapiens
SRR17244395,Klebsiella pneumoniae,2021-12-15T22:05:00Z,China,Asia,16/09/2017,,Homo sapiens
SRR17244396,Klebsiella pneumoniae,2021-12-15T22:05:00Z,China,Asia,18/07/2017,,Homo sapiens
SRR13436874,Klebsiella pneumoniae,2021-01-14T16:23:00Z,USA,North America,20/10/2020,blood,Homo sapiens
ERR4592267,Enterobacter cancerogenus,2021-01-19T22:22:00Z,Algeria,Africa,,activated sludge,
ERR4592305,Citrobacter freundii,2021-01-19T22:22:00Z,Algeria,Africa,,activated sludge,
SRR13448250,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448251,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448252,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448253,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448254,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448255,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448256,Salmonella enterica subsp. salamae,2021-01-16T13:56:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
SRR13448257,Salmonella enterica subsp. salamae,2021-01-16T13:55:00Z,Spain,Europe,10/10/2012,broiler feces,Gallus gallus
