Run,STRAND,GENE,DATABASE,RESISTANCE,Organism,create_date,country,continent,Collection_Date,isolation_source,HOST
SRR27187197,-,blaNDM-5_1,resfinder,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam,Klebsiella pneumoniae,2023-12-12T15:04:00Z,USA,North America,13/10/2023,urine,Homo sapiens
SRR27187197,-,aph(3')-VI_1,resfinder,Amikacin,Klebsiella pneumoniae,2023-12-12T15:04:00Z,USA,North America,13/10/2023,urine,Homo sapiens
SRR27187197,-,qnrS1_1,resfinder,Ciprofloxacin,Klebsiella pneumoniae,2023-12-12T15:04:00Z,USA,North America,13/10/2023,urine,Homo sapiens
SRR27187197,-,blaCTX-M-15_1,resfinder,Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin,Klebsiella pneumoniae,2023-12-12T15:04:00Z,USA,North America,13/10/2023,urine,Homo sapiens
SRR27187197,+,dfrA5_1,resfinder,Trimethoprim,Klebsiella pneumoniae,2023-12-12T15:04:00Z,USA,North America,13/10/2023,urine,Homo sapiens
SRR27187197,+,sul1_5,resfinder,Sulfamethoxazole,Klebsiella pneumoniae,2023-12-12T15:04:00Z,USA,North America,13/10/2023,urine,Homo sapiens
SRR23384584,+,mph(A)_2,resfinder,Erythromycin;Azithromycin;Spiramycin;Telithromycin,Klebsiella variicola,2023-02-09T14:13:00Z,Australia,Oceania,23/02/2020,Rectal swab,Homo sapiens
SRR23384584,-,sul1_5,resfinder,Sulfamethoxazole,Klebsiella variicola,2023-02-09T14:13:00Z,Australia,Oceania,23/02/2020,Rectal swab,Homo sapiens
SRR23384584,+,qnrB2_1,resfinder,Ciprofloxacin,Klebsiella variicola,2023-02-09T14:13:00Z,Australia,Oceania,23/02/2020,Rectal swab,Homo sapiens
SRR23384584,-,sul1_5,resfinder,Sulfamethoxazole,Klebsiella variicola,2023-02-09T14:13:00Z,Australia,Oceania,23/02/2020,Rectal swab,Homo sapiens
SRR23384584,-,catB3_2,resfinder,Chloramphenicol,Klebsiella variicola,2023-02-09T14:13:00Z,Australia,Oceania,23/02/2020,Rectal swab,Homo sapiens
SRR23384584,-,blaIMP-4_1,resfinder,Amoxicillin;Amoxicillin+Clavulanic_acid;Ampicillin;Ampicillin+Clavulanic_acid;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Ceftazidime;Ertapenem;Imipenem;Meropenem;Piperacillin;Piperacillin+Tazobactam,Klebsiella variicola,2023-02-09T14:13:00Z,Australia,Oceania,23/02/2020,Rectal swab,Homo sapiens
SRR27033042,+,aph(3'')-Ib_5,resfinder,Streptomycin,Escherichia coli,2023-12-04T06:10:00Z,Tunisia,Africa,2021,,
SRR27033042,+,aph(6)-Id_1,resfinder,Streptomycin,Escherichia coli,2023-12-04T06:10:00Z,Tunisia,Africa,2021,,
SRR27033042,-,floR_2,resfinder,Chloramphenicol;Florfenicol,Escherichia coli,2023-12-04T06:10:00Z,Tunisia,Africa,2021,,
SRR27033042,+,blaTEM-1B_1,resfinder,Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin,Escherichia coli,2023-12-04T06:10:00Z,Tunisia,Africa,2021,,
